,abstract,faithfulness,precision_recall,semantic_similarity,pdf,pdf-faithfulness,pdf-precision_recall,pdf-semantic_similarity,precision,recall
Causation,,,,,,,,,,
Dependency-based evaluation of MINIPAR,crossref,0.0,,0.6782637879379936,,,,,0.0,0.0
Induction of semantic classes from natural language text,crossref,0.0,,0.7019992385653937,,,,,1.0,0.0
Building a large annotated corpus of English: The Penn Treebank,crossref,0.0,,0.7019992385653937,,,,,1.0,0.0
"Text classification by bootstrapping with keywords, EM and shrinkage",,,,,,,,,,
Computer-Intensive Methods for Testing Hypotheses : An Introduction,,,,,,,,,,
Discovering word senses from text,crossref,0.0,,0.7019992385653937,,,,,1.0,0.0
Automatically labeling semantic classes,,,,,,,,,,
Computing reliability for coreference annotation,,,,,,,,,,
Learning domain-specific information extraction patterns from the web,crossref,0.0,,0.6928107895845539,,,,,0.0,0.0
Effective information extraction with semantic affinity patterns and relevant regions,,,,,,,,,,
Distributional clustering of English words,arxiv Library,1.0,,0.6471623889131705,,,,,1.0,0.0
CRFChunker: CRF English Phrase Chunker,,,,,,,,,,
CRFTagger: CRF English POS Tagger,,,,,,,,,,
Exploiting role-identifying nouns and expressions for information extraction,,,,,,,,,,
Contextual valence shifters,crossref,0.0,,0.6697329414784197,,,,,0.0,0.0
Extracting information from narratives: An application to aviation safety reports,crossref,0.0,,0.6730164058918074,,,,,0.0,0.0
Multi-label classification using ensembles of pruned sets,crossref,0.0,,0.6945671386969712,,,,,0.0,0.0
Automatically generating extraction patterns from untagged text,,,,,,,,,,
Noun-phrase co-occurrence statistics for semi-automatic semantic lexicon construction,,,,,,,,,,
Towards full automation of lexicon construction,crossref,0.0,,0.7019992385653937,,,,,1.0,0.0
An efficient algorithm for building a distributional thesaurus (and other Sketch Engine developments),crossref,0.0,,0.6837771287679668,,,,,0.0,0.0
Machine learning in automated text categorization,arxiv Library,1.0,,0.6634483737347073,,,,,1.0,0.0
Overview of the fourth message understanding evaluation and conference,crossref,0.0,,0.7019992385653937,,,,,1.0,0.0
Large scale multi-label classification via metalabeler,crossref,0.0,,0.7020137898575375,,,,,1.0,0.0
A bootstrapping method for learning semantic lexicons using extraction pattern contexts,crossref,0.0,,0.7019992385653937,,,,,1.0,0.0
Multi-label classification: An overview,,,,,,,,,,
Random k -labelsets: An ensemble method for multilabel classification,,,,,,,,,,
Parametric mixture models for multi-labeled text,,,,,,,,,,
Retrieving NASA problem reports: A case study in natural language information retrieval,crossref,0.0,,0.7019992385653937,,,,,1.0,0.0
Statistical Learning Theory,crossref,0.0,,0.6562440969152669,,,,,0.0,0.0
A comparative study on feature selection in text categorization,,,,,,,,,,
Counter-training in discovery of semantic patterns,crossref,0.0,,0.7019992385653937,,,,,1.0,0.0
Using “annotator rationales” to improve machine learning for text categorization,,,,,,,,,,
Graph mutual reinforcement based bootstrapping,crossref,0.0,,0.70209962826139,,,,,1.0,0.0
