,abstract,faithfulness,precision_recall,semantic_similarity,pdf,pdf-faithfulness,pdf-precision_recall,pdf-semantic_similarity,precision,recall,pdf-precision,pdf-recall
Efficient learning using forward-backward splitting,,,,,,,,,,,,
Dynamic pooling and unfolding recursive autoencoders for paraphrase detection,,,,,,,,,,,,
Grounded compositional semantics for finding and describing images with sentences,,,,,,,,,,,,
Parsing natural scenes and natural language with recursive neural networks,,,,,,,,,,,,
Learning continuous phrase representations and syntactic parsing with recursive neural networks,,,,,,,,,,,,
Semi-supervised recursive autoencoders for predicting sentiment distributions,,,,,,,,,,,,
Unsupervised learning of video representations using LSTMs,arxiv Library,0.0,,0.7967583080588208,arxiv Library,0.3,,0.8338553499369742,0.2777777777777778,0.03759398496240601,0.2777777777777778,0.06172839506172839
On the importance of initialization and momentum in deep learning,,,,,,,,,,,,
Generating text with recurrent neural networks,,,,,,,,,,,,
Sequence to sequence learning with neural networks,arxiv Library,0.0,,0.8297202474990595,arxiv Library,0.5,,0.8601766974009406,0.3333333333333333,0.08609271523178808,0.3333333333333333,0.20634920634920634
Computing machinery and intelligence,crossref,0.0,,0.6777598322939127,,,,,0.0,0.0,,
Sequence to sequence–video to text,,,,,,,,,,,,
Show and tell: A neural image caption generator,arxiv Library,0.7,,0.8397486630655829,arxiv Library,0.5,,0.8626590190224238,0.2857142857142857,0.03773584905660377,0.5714285714285714,0.10256410256410256
Backpropagation through time: what it does and how to do it,crossref,0.0,,0.6777065268214865,,,,,0.0,0.0,,
A learning algorithm for continually running fully recurrent neural networks,crossref,0.0,,0.8387071142064684,,,,,0.375,0.08955223880597014,,
Learning to execute,arxiv Library,0.8,,0.7962868489558945,arxiv Library,0.5,,0.8382823918689559,0.3220338983050847,0.1743119266055046,0.2542372881355932,0.2459016393442623
Adadelta: an adaptive learning rate method,arxiv Library,0.5,,0.8489973164195828,arxiv Library,0.5,,0.8864832406328377,0.3157894736842105,0.08571428571428572,0.47368421052631576,0.1125
On rectified linear units for speech processing,crossref,0.0,,0.6979321576683062,,,,,0.0,0.0,,
