,abstract,faithfulness,precision,recall,semantic_similarity,pdf,pdf-faithfulness,pdf-precision,pdf-recall,pdf-semantic_similarity,precision_recall,pdf-precision_recall
Efficient estimation of word representations in vector space,arxiv Library,0.5,0.18181818181818182,0.0273972602739726,0.8328803369951624,arxiv Library,0.5,0.2727272727272727,0.04225352112676056,0.8547586165387275,,
Unsupervised learning of visual representations by solving jigsaw puzzles,arxiv Library,0.0,1.0,0.0,0.6635430890336652,arxiv Library,0.0,1.0,0.0,0.6868250967762888,,
Learning and transferring mid-level image representations using convolutional neural networks,crossref,0.0,0.0,0.0,0.7005416635975585,,,,,,,
Context encoders: Feature learning by inpainting,arxiv Library,0.5,0.13043478260869565,0.02586206896551724,0.7434021978189094,arxiv Library,0.5,0.4782608695652174,0.14473684210526316,0.8565365038123416,,
Learning to segment object candidates,arxiv Library,0.3,0.3142857142857143,0.0859375,0.8139182851943801,arxiv Library,0.0,0.34285714285714286,0.17647058823529413,0.874667054104913,,
Linking people in videos with their names using coreference resolution,,,,,,,,,,,,
Unsupervised learning of invariant feature hierarchies with applications to object recognition,crossref,0.0,0.0,0.0,0.6600395779823773,,,,,,,
CNN features off-the-shelf: an astounding baseline for recognition,crossref,0.0,0.0,0.0,0.7005416635975585,,,,,,,
A metric for distributions with applications to image databases,crossref,0.0,0.0,0.0,0.6927775400873157,,,,,,,
Image classification with the fisher vector: Theory and practice,crossref,0.0,0.0,0.0,0.7071044129301609,,,,,,,
Colocalization in real-world images,,,,,,,,,,,,
Scale-invariant learning and convolutional networks,crossref,0.0,0.0,0.0,0.6643168608246598,,,,,,,
Conditional image generation with pixelcnn decoders,arxiv Library,1.0,1.0,0.0,0.645912210816402,arxiv Library,0.0,1.0,0.0,0.673541261807092,,
Clustering of the selforganizing,,,,,,,,,,,,
Stacked denoising autoencoders: Learning useful representations in a deep network with a local denoising criterion,,,,,,,,,,,,
Unsupervised learning of visual representations using videos,arxiv Library,1.0,1.0,0.0,0.6558295335819698,arxiv Library,0.5,1.0,0.0,0.6969527583789809,,
Unsupervised deep embedding for clustering analysis,arxiv Library,0.5,0.19230769230769232,0.07142857142857142,0.7818160924235481,arxiv Library,0.0,0.34615384615384615,0.10975609756097561,0.8394647287857999,,
Maximum margin clustering,,,,,,,,,,,,
Joint unsupervised learning of deep representations and image clusters,arxiv Library,0.0,0.38235294117647056,0.12871287128712872,0.8222650621676237,arxiv Library,0.0,0.23529411764705882,0.10526315789473684,0.8625617602557414,,
Colorful image colorization,arxiv Library,0.5,0.38095238095238093,0.06722689075630252,0.7871011425581883,arxiv Library,0.5,0.47619047619047616,0.11627906976744186,0.8707084367541311,,
Stacked What-Where Auto-encoders,,,,,,,,,,,,
